publico,estado,n,compras_30d,conversao_30d,ic95_inf_30d,ic95_sup_30d,compras_90d,conversao_90d,ic95_inf_90d,ic95_sup_90d,compras_179d,conversao_179d,ic95_inf_179d,ic95_sup_179d
Ex-membro,Oportunidade,1303,22,0.01688411358403684,0.01117606345605798,0.025432504866223764,50,0.03837298541826554,0.029226920953913486,0.05023305338421593,83,0.0636991557943208,0.05167878800921031,0.07828462913331102
Ex-membro,Prospect,2292,25,0.010907504363001745,0.007398996000110029,0.01605279614443514,79,0.03446771378708551,0.027743800532856,0.0427495645146281,149,0.0650087260034904,0.05562538635124585,0.07584779542227023
Ex-membro,Somente Lead,1147,32,0.02789886660854403,0.019830404523361825,0.03911915030677292,72,0.06277244986922406,0.050142371249141386,0.07832152856122346,113,0.0985178727114211,0.08258790761678272,0.11712819579831801
Ex-membro,Contato,10166,63,0.00619712768050364,0.004847033813857386,0.007920284017326926,189,0.01859138304151092,0.01614163682613101,0.02140482800769688,373,0.03669093055282314,0.03320781612790482,0.04052406972565655
Não-membro,Oportunidade,345,12,0.034782608695652174,0.020006909666255714,0.05980467243863085,24,0.06956521739130435,0.04718968875996432,0.101421027393155,36,0.10434782608695652,0.07632899840743236,0.14108085179391971
Não-membro,Prospect,1127,27,0.023957409050576754,0.016516350375375258,0.03463281145241743,67,0.05944986690328305,0.04708315119475645,0.07480978235137414,105,0.09316770186335403,0.0775519982713317,0.1115475184072199
Não-membro,Somente Lead,9265,41,0.004425256341068538,0.003263840080353871,0.0059974682583278476,115,0.0124123043712898,0.01035133273027145,0.014877450983110817,174,0.018780356179168914,0.01620899640345952,0.021750612270832644
Não-membro,Contato,81104,128,0.001578220556322746,0.0013276193059310404,0.001876036405701162,386,0.004759321365160781,0.004308543516447072,0.00525701247290131,669,0.008248668376405604,0.007649054790854483,0.00889486468141514
