mes,publico,estado,n,compras_30d,conversao_30d,ic95_inf_30d,ic95_sup_30d,compras_90d,conversao_90d,ic95_inf_90d,ic95_sup_90d,compras_179d,conversao_179d,ic95_inf_179d,ic95_sup_179d
2025-09-01,Ex-membro,Contato,9271,69,0.0074425628303311404,0.005885510996504832,0.00940764506127625,254,0.0273972602739726,0.02426506087658259,0.03092095976661631,376,0.04055657426383346,0.0367277581115827,0.04476598944740526
2025-09-01,Ex-membro,Lead engajado,1597,58,0.036318096430807766,0.028198976408778175,0.046662646377636174,151,0.09455228553537884,0.0811588562464637,0.10989165118662649,200,0.12523481527864747,0.10989523065066165,0.1423730762199244
2025-09-01,Ex-membro,Oportunidade,157,11,0.07006369426751592,0.039569380258200004,0.12109552235405951,29,0.18471337579617833,0.13179912844996683,0.2526884667990235,37,0.2356687898089172,0.17608736022955437,0.3078769873024275
2025-09-01,Não-membro,Contato,77870,89,0.001142930525234365,0.0009289539362486131,0.0014061254211308748,424,0.00544497238988057,0.004951934323000972,0.005986804315006581,614,0.007884936432515732,0.007287526026725444,0.008530899964474148
2025-09-01,Não-membro,Lead engajado,5504,20,0.003633720930232558,0.0023535524509510656,0.005606298827270153,79,0.014353197674418604,0.011532481183780228,0.01785137037796403,112,0.020348837209302327,0.01693959060288861,0.024427176371673624
2025-09-01,Não-membro,Oportunidade,467,12,0.02569593147751606,0.014758965970295957,0.04437259759588001,33,0.07066381156316917,0.05075573962524603,0.09757779759831282,45,0.09635974304068523,0.07279624744104268,0.12650984615816352
2025-09-01,Não-membro,Prospect,437,3,0.006864988558352402,0.0023373641320203146,0.01998720777770871,13,0.029748283752860413,0.017465858144449727,0.05022648305021066,23,0.05263157894736842,0.03532384824725161,0.07773626223234013
2025-10-01,Ex-membro,Contato,9629,61,0.006335029598089106,0.004935289350706969,0.008128519359694745,222,0.023055353619275108,0.02024244106617,0.026248679477118078,397,0.04122961885969467,0.03743790442826229,0.04538725071598922
2025-10-01,Ex-membro,Lead engajado,1727,54,0.03126809496236248,0.024043348044305038,0.04057354121927634,142,0.08222350897510133,0.0701758117423739,0.09612571463646978,212,0.12275622466705269,0.10811086599912786,0.13907616717594717
2025-10-01,Ex-membro,Oportunidade,191,17,0.08900523560209424,0.05631222614360499,0.13790502520312997,33,0.17277486910994763,0.12575152980371992,0.23270169579081426,46,0.24083769633507854,0.18568986849051114,0.3062050861803599
2025-10-01,Não-membro,Contato,78426,66,0.0008415576466987988,0.0006615964361027693,0.0010704177721217695,382,0.004870833652105169,0.004407227042924344,0.0053829444573072725,656,0.008364572973248668,0.0077507973864260294,0.009026510499912993
